Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Australia & New Zealand 1GB/Day",AUNZ-2_1_Daily,1.60,3.06,3.06,"https://asim.esimqr.link/pay/usd/AUNZ-2_1_Daily","https://asim.esimqr.link/?slug=AUNZ-2_1_Daily"
"Australia & New Zealand 1GB 7Days",AUNZ-2_1_7,1.90,3.42,3.42,"https://asim.esimqr.link/pay/usd/AUNZ-2_1_7","https://asim.esimqr.link/?slug=AUNZ-2_1_7"
"Australia & New Zealand 2GB/Day",AUNZ-2_2_Daily,2.90,4.59,4.59,"https://asim.esimqr.link/pay/usd/AUNZ-2_2_Daily","https://asim.esimqr.link/?slug=AUNZ-2_2_Daily"
"Australia & New Zealand 3GB 15Days",AUNZ-2_3_15,5.10,7.18,7.18,"https://asim.esimqr.link/pay/usd/AUNZ-2_3_15","https://asim.esimqr.link/?slug=AUNZ-2_3_15"
"Australia & New Zealand 3GB 30Days",AUNZ-2_3_30,5.30,7.42,7.42,"https://asim.esimqr.link/pay/usd/AUNZ-2_3_30","https://asim.esimqr.link/?slug=AUNZ-2_3_30"
"Australia & New Zealand 5GB 30Days",AUNZ-2_5_30,8.50,11.18,11.18,"https://asim.esimqr.link/pay/usd/AUNZ-2_5_30","https://asim.esimqr.link/?slug=AUNZ-2_5_30"
"Australia & New Zealand 10GB 30Days",AUNZ-2_10_30,15.80,19.77,19.77,"https://asim.esimqr.link/pay/usd/AUNZ-2_10_30","https://asim.esimqr.link/?slug=AUNZ-2_10_30"
"Australia & New Zealand 20GB 30Days",AUNZ-2_20_30,29.00,35.30,35.30,"https://asim.esimqr.link/pay/usd/AUNZ-2_20_30","https://asim.esimqr.link/?slug=AUNZ-2_20_30"
"Europe(30+ areas) 300MB/Day",EU-30_0.3_Daily,0.45,1.71,1.71,"https://asim.esimqr.link/pay/usd/EU-30_0.3_Daily","https://asim.esimqr.link/?slug=EU-30_0.3_Daily"
"Europe(30+ areas) 500MB/Day",EU-30_0.5_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/EU-30_0.5_Daily","https://asim.esimqr.link/?slug=EU-30_0.5_Daily"
"Europe(30+ areas) 1GB 30Days",EU-30_1_30,1.00,2.36,2.36,"https://asim.esimqr.link/pay/usd/EU-30_1_30","https://asim.esimqr.link/?slug=EU-30_1_30"
"Europe(30+ areas) 1GB 7Days",EU-30_1_7,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/EU-30_1_7","https://asim.esimqr.link/?slug=EU-30_1_7"
"Europe(30+ areas) 1GB/Day",EU-30_1_Daily,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/EU-30_1_Daily","https://asim.esimqr.link/?slug=EU-30_1_Daily"
"Europe(30+ areas) 1.5GB/Day",EU-30_1.5_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/EU-30_1.5_Daily","https://asim.esimqr.link/?slug=EU-30_1.5_Daily"
"Europe(30+ areas) 2GB/Day",EU-30_2_Daily,2.90,4.59,4.59,"https://asim.esimqr.link/pay/usd/EU-30_2_Daily","https://asim.esimqr.link/?slug=EU-30_2_Daily"
"Europe(30+ areas) 3GB 15Days",EU-30_3_15,3.70,5.53,5.53,"https://asim.esimqr.link/pay/usd/EU-30_3_15","https://asim.esimqr.link/?slug=EU-30_3_15"
"Europe(30+ areas) 3GB 30Days",EU-30_3_30,3.80,5.65,5.65,"https://asim.esimqr.link/pay/usd/EU-30_3_30","https://asim.esimqr.link/?slug=EU-30_3_30"
"Europe(30+ areas) 3GB/Day",EU-30_3_Daily,4.40,6.36,6.36,"https://asim.esimqr.link/pay/usd/EU-30_3_Daily","https://asim.esimqr.link/?slug=EU-30_3_Daily"
"Europe(30+ areas) 5GB 30Days",EU-30_5_30,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/EU-30_5_30","https://asim.esimqr.link/?slug=EU-30_5_30"
"Europe(30+ areas) 10GB 30Days",EU-30_10_30,9.90,12.83,12.83,"https://asim.esimqr.link/pay/usd/EU-30_10_30","https://asim.esimqr.link/?slug=EU-30_10_30"
"Europe(30+ areas) 20GB 30Days",EU-30_20_30,16.80,20.95,20.95,"https://asim.esimqr.link/pay/usd/EU-30_20_30","https://asim.esimqr.link/?slug=EU-30_20_30"
"Europe(30+ areas) 20GB 90Days",EU-30_20_90,17.30,21.53,21.53,"https://asim.esimqr.link/pay/usd/EU-30_20_90","https://asim.esimqr.link/?slug=EU-30_20_90"
"Europe(30+ areas) 50GB 180Days",EU-30_50_180,36.50,44.12,44.12,"https://asim.esimqr.link/pay/usd/EU-30_50_180","https://asim.esimqr.link/?slug=EU-30_50_180"
"Middle East & North Africa 1GB 7Days",ME-12_1_7,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/ME-12_1_7","https://asim.esimqr.link/?slug=ME-12_1_7"
"Middle East & North Africa 3GB 15Days",ME-12_3_15,17.50,21.77,21.77,"https://asim.esimqr.link/pay/usd/ME-12_3_15","https://asim.esimqr.link/?slug=ME-12_3_15"
"Middle East & North Africa 3GB 30Days",ME-12_3_30,17.90,22.24,22.24,"https://asim.esimqr.link/pay/usd/ME-12_3_30","https://asim.esimqr.link/?slug=ME-12_3_30"
"Middle East & North Africa 5GB 30Days",ME-12_5_30,28.50,34.71,34.71,"https://asim.esimqr.link/pay/usd/ME-12_5_30","https://asim.esimqr.link/?slug=ME-12_5_30"
"Middle East & North Africa 10GB 30Days",ME-12_10_30,55.00,65.89,65.89,"https://asim.esimqr.link/pay/usd/ME-12_10_30","https://asim.esimqr.link/?slug=ME-12_10_30"
"Middle East & North Africa 20GB 30Days",ME-12_20_30,106.00,125.89,125.89,"https://asim.esimqr.link/pay/usd/ME-12_20_30","https://asim.esimqr.link/?slug=ME-12_20_30"
"Gulf Region 500MB/Day",ME-6_0.5_Daily,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/ME-6_0.5_Daily","https://asim.esimqr.link/?slug=ME-6_0.5_Daily"
"Gulf Region 1GB 7Days",ME-6_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/ME-6_1_7","https://asim.esimqr.link/?slug=ME-6_1_7"
"Gulf Region 1GB/Day",ME-6_1_Daily,2.90,4.59,4.59,"https://asim.esimqr.link/pay/usd/ME-6_1_Daily","https://asim.esimqr.link/?slug=ME-6_1_Daily"
"Gulf Region 3GB 30Days",ME-6_3_30,6.80,9.18,9.18,"https://asim.esimqr.link/pay/usd/ME-6_3_30","https://asim.esimqr.link/?slug=ME-6_3_30"
"Gulf Region 5GB/Day",ME-6_5_Daily,10.80,13.89,13.89,"https://asim.esimqr.link/pay/usd/ME-6_5_Daily","https://asim.esimqr.link/?slug=ME-6_5_Daily"
